ano,playa,pH,DO.mg_L,tds.ppmx10,salt.Pcnt,temp.C
2016,Ushuaia NU,8.16,11.5,2770,2.44,15.6
2016,Ushuaia NU,8.18,11.7,2780,2.46,15.2
2016,Ushuaia NU,8.1,11.6,2780,2.45,15.4
2016,Ushuaia NU,8.17,11.4,2780,2.49,14
2016,Ushuaia NU,8.21,11.4,2770,2.44,13.7
2016,Ushuaia NU,8.16,11.6,2780,2.45,15.3
2016,Ushuaia NU,8.18,11.4,2760,2.43,15.9
2016,Ushuaia NU,8.18,11.2,2790,2.45,16
2016,Ushuaia NU,8.18,11.2,2800,2.46,15.9
2016,Ushuaia UR,8.06,11.6,3000,2.67,11.1
2016,Ushuaia UR,8.16,11.8,3060,2.7,11.3
2016,Ushuaia UR,8.11,12.1,3060,2.7,11.2
2016,Ushuaia UR,8.18,11.5,2950,2.61,11.9
2016,Ushuaia UR,8.19,11.9,2950,2.61,12.5
2016,Ushuaia UR,8.21,12,2960,2.62,11.1
2016,Ushuaia UR,8.26,11.8,3080,2.72,11.4
2016,Ushuaia UR,8.25,11.8,3070,2.71,12.2
2016,Ushuaia UR,8.23,12.1,3070,2.71,11.4
2016,Rio Grande NU,8.13,11.5,2980,2.63,13.8
2016,Rio Grande NU,8.13,10,2950,2.6,13.6
2016,Rio Grande NU,8.14,11.1,2960,2.61,13.5
2016,Rio Grande NU,8.17,11.4,3330,2.94,13.5
2016,Rio Grande NU,8.16,10.7,3330,2.95,13.6
2016,Rio Grande NU,8.15,10.7,3310,2.93,14.1
2016,Rio Grande NU,8.16,11.4,3250,2.86,13.3
2016,Rio Grande NU,8.15,11.4,3230,2.84,13.1
2016,Rio Grande NU,8.12,11.4,3200,2.82,13.4
2016,Rio Grande UR,8.1,11.8,3620,3.31,13.3
2016,Rio Grande UR,8.1,12.3,3620,3.31,13.3
2016,Rio Grande UR,8.09,11.9,3630,3.32,14.2
2016,Rio Grande UR,8.09,11.7,3560,3.26,12.4
2016,Rio Grande UR,8.05,11.7,3520,3.2,12.1
2016,Rio Grande UR,8.1,12.2,3590,3.3,12.4
2016,Rio Grande UR,8.09,11.8,3620,3.31,14
2016,Rio Grande UR,8.1,12.3,3630,3.32,13.1
2016,Rio Grande UR,8.09,11.8,3620,3.31,14.1
